,region,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,isСomplete,house_material,balcony,passenger_elevator,is_apartments,is_auction,locate,is_metro,m_minute,m_type
440,msk,50900000,121.0,15.0,90.0,3,2,6,0,monolithBrick,1,1,0,1,Евро,1,10,walk
441,msk,52000000,152.0,20.0,90.0,3,4,17,0,monolithBrick,1,1,0,1,Евро,1,10,walk
442,msk,54000000,97.0,15.0,70.0,4,12,41,0,monolith,0,2,0,1,Евро,1,10,walk
443,msk,58500000,135.0,15.0,77.0,3,6,6,0,monolith,0,1,1,1,Евро,1,10,walk
444,msk,60000000,49.3,8.0,36.3,1,2,11,0,monolithBrick,0,2,0,1,Евро,1,10,walk
445,msk,60000000,86.7,15.0,66.7,2,20,21,1,monolith,0,2,0,1,Евро,1,10,walk
446,msk,61000000,115.4,17.1,58.5,3,9,18,0,monolithBrick,1,1,0,1,Евро,1,10,walk
447,msk,62000000,130.0,18.0,72.0,3,16,30,1,monolithBrick,1,1,0,1,Евро,1,10,walk
448,msk,62000000,96.0,40.0,33.0,3,14,36,1,monolith,0,3,0,1,Евро,1,10,walk
449,msk,66600000,139.0,16.2,71.0,4,18,29,1,monolith,0,2,0,1,Евро,1,10,walk
450,msk,66400000,56.58,10.0,28.29,1,3,21,1,monolithBrick,1,1,0,1,Евро,1,10,walk
451,msk,68000000,64.0,10.0,40.0,2,4,5,0,monolithBrick,0,2,1,1,Евро,1,10,walk
452,msk,69000000,168.0,20.0,140.0,5,5,6,0,monolithBrick,0,1,1,1,Евро,1,10,walk
453,msk,70000000,73.0,5.0,59.0,2,49,63,1,monolithBrick,0,0,1,1,Евро,1,10,walk
454,msk,72160000,172.9,20.0,147.9,6,27,27,1,monolith,0,3,0,1,Евро,1,10,walk
455,msk,71990000,117.9,15.0,80.0,3,12,18,0,monolith,1,1,1,1,Евро,1,10,walk
456,msk,74900000,177.8,17.0,98.0,4,7,20,1,monolith,1,2,0,1,Евро,1,10,walk
457,msk,76200000,127.0,40.0,41.0,4,14,16,0,monolith,0,2,1,1,Евро,1,10,walk
458,msk,78000000,85.2,12.0,41.6,3,9,18,0,monolith,0,2,0,1,Евро,1,10,walk
459,msk,81700000,152.0,15.0,104.0,5,2,4,0,monolith,1,1,0,1,Евро,0,0,NO
460,msk,82350000,115.0,16.3,72.0,3,19,22,1,monolith,0,1,0,1,Евро,1,10,walk
461,msk,82000000,66.0,15.0,44.8,2,3,12,0,monolith,0,2,0,1,Евро,1,10,walk
462,msk,104500000,118.0,6.3,88.0,4,3,7,1,monolithBrick,0,2,0,1,Евро,1,10,walk
463,msk,108000000,187.4,20.0,107.0,4,18,32,1,monolithBrick,1,2,0,1,Евро,1,10,walk
464,msk,108150000,92.12,10.0,34.0,2,3,21,1,monolithBrick,1,1,0,1,Евро,1,10,walk
465,msk,110000000,155.2,14.7,135.5,4,5,12,0,monolithBrick,1,2,0,1,Евро,1,10,walk
466,msk,110000000,212.7,16.3,83.1,4,4,4,0,monolith,1,1,0,1,Евро,0,0,NO
467,msk,113500000,100.0,15.0,72.0,3,8,15,0,monolithBrick,0,0,0,1,Евро,1,10,walk
468,msk,117000000,236.0,47.2,118.0,6,34,47,1,monolith,0,1,0,1,Евро,1,10,walk
469,msk,119000000,110.0,16.0,64.0,3,3,5,0,monolithBrick,0,2,0,1,Евро,1,10,walk
470,msk,135000000,160.0,25.0,100.0,4,4,8,0,monolithBrick,0,1,0,1,Евро,1,10,walk
471,msk,139000000,150.0,20.0,100.0,4,3,14,0,monolithBrick,0,0,0,1,Евро,1,10,walk
472,msk,160000000,221.0,37.0,118.0,5,34,34,1,monolithBrick,0,3,0,1,Евро,1,10,walk
473,msk,165000000,207.0,41.400000000000006,103.5,4,3,22,1,brick,0,2,0,1,Евро,1,10,walk
474,msk,170000000,144.0,65.0,56.0,1,14,21,1,monolithBrick,0,1,0,1,Евро,1,10,walk
475,msk,169900000,180.0,36.0,90.0,4,3,8,1,monolithBrick,2,2,0,1,Евро,1,10,walk
476,msk,175000000,163.0,32.6,81.5,4,31,53,1,monolith,0,3,0,1,Евро,1,10,walk
477,msk,189000000,230.0,40.0,73.0,4,18,18,1,monolithBrick,1,2,0,1,Евро,1,10,walk
478,msk,195000000,103.0,50.0,45.0,3,2,13,1,monolithBrick,0,1,0,1,Евро,1,10,walk
479,msk,193927301,142.6,30.0,100.0,4,8,10,0,brick,1,2,0,1,Евро,1,10,walk
480,msk,198000000,103.0,13.7,52.0,3,3,14,1,monolithBrick,0,1,0,1,Евро,1,10,walk
481,msk,200000000,122.9,48.0,27.0,3,4,8,1,monolith,0,1,0,1,Евро,1,10,walk
482,msk,200000000,210.0,20.0,90.0,3,4,6,1,monolithBrick,0,1,0,1,Евро,1,10,walk
483,msk,229557703,168.8,30.0,120.0,4,8,10,0,brick,1,2,0,1,Евро,1,10,walk
484,msk,259000000,494.0,56.0,115.0,5,15,16,1,monolithBrick,0,1,0,1,Евро,1,10,walk
485,msk,290000000,151.3,30.260000000000005,75.65,3,2,7,0,monolithBrick,0,0,0,1,Евро,1,10,walk
486,msk,296000000,238.0,47.6,119.0,5,3,12,1,monolith,0,1,0,1,Евро,1,10,walk
487,msk,300000000,204.0,40.800000000000004,102.0,4,4,11,0,monolithBrick,0,0,0,1,Евро,1,10,walk
488,msk,303719709,124.7,24.94,62.35,3,2,5,1,monolithBrick,0,1,1,1,Евро,1,10,walk
489,msk,380000000,303.0,22.0,126.0,6,3,12,0,monolithBrick,0,2,0,1,Евро,1,10,walk
490,msk,390000000,193.4,20.0,102.0,3,6,8,0,monolithBrick,1,1,0,1,Евро,1,10,walk
491,msk,486000000,252.0,20.0,144.0,5,4,7,0,monolith,0,1,0,1,Евро,1,10,walk
492,msk,620000000,225.0,45.0,112.5,5,5,6,0,monolithBrick,0,1,0,1,Евро,1,10,walk
493,msk,725300799,227.0,21.5,109.7,4,3,7,1,monolithBrick,1,2,0,1,Евро,1,10,walk
494,msk,32097440,60.75,26.5,22.6,2,36,36,0,monolith,0,1,0,0,Евро,1,10,walk
495,msk,94705919,133.07,32.2,45.8,3,2,7,0,monolithBrick,0,0,0,0,Евро,1,10,walk
496,msk,19800000,60.0,12.0,40.0,2,6,9,1,monolith,0,1,0,1,Евро,1,10,walk
497,msk,31145172,68.16,13.632,34.08,2,2,17,0,monolith,0,1,0,0,Евро,1,10,walk
498,msk,41400450,101.1,24.9,42.8,3,2,41,1,monolith,0,1,0,0,Евро,1,10,walk
499,msk,60000000,76.1,15.219999999999999,38.05,2,34,78,1,monolith,0,2,0,1,Евро,1,10,walk
500,msk,102000000,136.9,12.8,68.45,4,8,12,0,monolithBrick,0,0,0,1,Евро,1,10,walk
